,Name,Age,Height_in_cms,Weight_in_kgs,BP,Attacking,Skill,Movement,Power,Mentality,Defending,Goalkeeping,ST,LW,CF,RW,CAM,LM,CM,RM,LWB,CDM,RWB,LB,CB,RB,GK,OVA
7210,M. Tramoni,20,175.26,67.5,RM,297,324,386,305,279,147,46,62,67,65,67,66,67,63,67,59,57,59,58,53,58,15,68
7211,G. Carmona,34,187.96,93.15,RB,237,232,292,306,249,195,54,52,52,51,52,51,55,53,55,63,61,63,63,64,63,16,65
7212,A. Palavecino,23,172.72,66.60000000000001,CAM,266,306,341,318,244,115,60,58,63,62,63,64,63,61,63,53,51,53,50,43,50,17,64
7213,T. Rocha,26,175.26,74.25,CM,274,291,322,335,332,178,53,61,61,62,61,62,62,63,62,62,63,62,62,62,62,15,63
7214,R. Henry,22,170.18,65.7,LWB,243,277,429,310,309,208,55,57,67,63,67,64,68,63,68,72,67,72,71,67,71,17,73
7215,A. Schäfer,21,180.34,69.3,RM,268,263,348,236,273,156,56,57,61,60,61,60,62,59,62,60,57,60,59,53,59,17,63
7216,M. Pulkrab,23,182.88,77.4,ST,303,222,320,310,295,75,42,65,61,63,61,60,59,53,59,46,46,46,45,47,45,15,65
7217,T. Cardona,24,187.96,79.2,CB,241,238,268,328,276,204,60,52,49,49,49,49,52,54,52,62,65,62,63,70,63,18,70
7218,Piqué,33,193.04,84.15,CB,344,325,292,343,371,258,58,70,67,70,67,71,69,76,69,76,83,76,78,84,78,20,86
7219,Andrés Martín,20,170.18,65.7,ST,316,289,359,289,256,68,51,66,66,66,66,65,64,57,64,47,44,47,45,40,45,16,66
7220,M. Layún,32,177.8,70.65,RB,325,364,364,384,362,212,52,71,72,73,72,72,73,73,73,73,72,73,73,70,73,18,75
7221,A. O'Neill,21,177.8,69.3,CAM,281,297,359,339,287,169,53,62,65,64,65,65,65,65,65,63,63,63,62,59,62,17,65
7222,P. Hetemaj,33,175.26,75.60000000000001,RWB,330,353,379,389,367,213,47,67,70,70,70,71,72,72,72,74,73,74,73,71,73,17,72
7223,Zhu Chenjie,19,185.42,77.4,CB,214,226,342,303,252,180,45,50,50,50,50,51,52,54,52,59,60,59,60,62,60,15,62
7224,B. Sigurðarson,28,185.42,85.5,ST,338,301,390,385,321,94,62,72,72,72,72,70,71,65,71,59,56,59,56,53,56,20,73
7225,Raphaelito Anjos,32,190.5,84.15,GK,55,73,240,240,169,50,401,30,27,31,27,31,28,30,28,26,29,26,26,30,26,81,82
7226,M. Rodríguez,25,170.18,67.5,LM,319,282,405,341,283,134,51,69,72,70,72,70,71,65,71,61,58,61,60,55,60,17,72
7227,M. Meyer,24,172.72,67.5,CAM,315,382,387,307,358,197,58,65,74,72,74,75,75,75,75,72,72,72,69,64,69,18,76
7228,S. Abe,22,170.18,66.60000000000001,CDM,258,287,306,303,288,182,45,56,58,58,58,59,59,60,59,59,61,59,58,58,58,14,60
7229,B. Rodriguez,20,187.96,79.2,ST,184,162,123,193,76,32,22,50,42,50,42,44,42,38,42,31,39,31,34,35,34,10,50
7230,J. McArthur,32,177.8,65.7,CDM,335,341,340,341,374,223,45,70,71,72,71,73,72,75,72,73,76,73,73,74,73,17,75
7231,K. Laifis,27,185.42,81.45,CB,340,335,333,356,327,223,59,67,67,67,67,68,69,71,69,73,74,73,73,74,73,19,74
7232,N. Jørgensen,29,190.5,82.35000000000001,ST,356,343,327,374,314,99,44,74,72,74,72,73,72,69,72,56,57,56,53,52,53,15,74
7233,D. Zuma,25,170.18,71.55,CAM,289,315,366,252,252,123,39,61,68,66,68,68,68,63,68,57,53,57,53,45,53,14,69
7234,D. Zappacosta B,28,185.42,69.3,RB,352,351,362,357,342,231,45,70,72,71,72,71,73,72,73,77,74,77,76,74,76,16,78
7235,D. Upamecano,21,185.42,89.10000000000001,CB,264,266,350,327,300,236,45,60,60,60,60,62,63,66,63,70,74,70,72,79,72,16,79
7236,J. Wright,19,185.42,81.45,GK,63,74,143,185,87,30,248,18,16,17,16,18,18,20,18,17,20,17,17,20,17,49,50
7237,Chema Rodríguez,28,187.96,79.2,CB,312,258,314,340,285,218,58,61,57,58,57,59,58,62,58,66,69,66,67,72,67,19,72
7238,R. Klavan,34,187.96,77.4,CB,274,279,257,299,293,228,59,56,54,56,54,59,55,64,55,63,71,63,65,74,65,18,74
7239,P. Gunnarsson,19,190.5,69.3,GK,78,116,175,208,103,32,305,22,23,24,23,29,25,31,25,21,27,21,20,23,20,58,59
7240,H. Carter,20,187.96,66.60000000000001,CB,157,156,273,269,188,173,50,38,37,37,37,37,39,40,39,49,49,49,51,56,51,14,56
7241,K. Parks,22,190.5,80.55,CM,301,309,258,306,330,186,45,65,64,66,64,66,64,68,64,63,67,63,62,65,62,15,68
7242,S. Olberkis,23,193.04,87.3,CB,163,135,246,272,204,157,52,38,35,35,35,34,36,37,36,46,47,46,48,54,48,14,54
7243,R. Rosales,31,175.26,72.45,RWB,325,338,369,345,330,230,58,68,71,70,71,70,71,71,71,75,74,75,75,74,75,19,77
7244,L. Camp,34,182.88,73.35000000000001,GK,83,100,269,246,118,34,333,29,26,27,26,28,27,28,27,25,28,25,25,26,25,66,67
7245,N. Smerdon,19,182.88,69.3,LB,200,229,307,235,222,154,55,44,49,46,49,47,50,46,50,54,50,54,54,51,54,15,56
7246,Arturo Inálcio,20,170.18,59.4,CM,332,343,399,319,312,152,57,71,77,76,77,78,77,78,77,69,67,69,67,56,67,17,78
7247,M. Ozdoev,27,182.88,77.4,CDM,314,343,377,373,348,222,66,71,73,74,73,75,74,75,74,74,76,74,73,73,73,19,77
7248,João Aurélio,31,182.88,73.35000000000001,RB,333,346,332,361,345,224,55,68,70,70,70,70,71,73,71,74,75,74,74,73,74,19,76
7249,C. Espinosa,36,172.72,69.3,CAM,269,339,273,236,264,110,49,54,60,61,60,65,59,63,59,46,51,46,43,40,43,15,66
7250,D. Widgren,26,180.34,74.25,LB,265,308,338,327,279,190,34,56,60,59,60,61,63,64,63,66,65,66,66,63,66,13,68
7251,B. Armoa,20,175.26,71.55,RW,289,250,344,278,225,60,51,60,65,63,65,63,63,57,63,48,44,48,45,36,45,17,65
7252,N. Murru,25,180.34,73.35000000000001,LB,272,292,351,303,286,217,25,56,61,59,61,60,64,62,64,71,68,71,71,70,71,12,73
7253,S. Gamarra,23,177.8,71.55,CM,279,301,340,321,312,183,45,60,61,62,61,62,62,63,62,62,63,62,63,63,63,15,63
7254,M. Russ,33,190.5,87.3,CB,251,205,204,279,281,215,52,51,43,47,43,48,44,54,44,54,65,54,57,71,57,16,72
7255,Wang Shenchao B,31,180.34,71.55,RB,247,246,348,284,266,201,52,53,58,56,58,57,61,60,61,67,65,67,68,66,68,17,70
7256,M. van Ginkel,27,185.42,81.45,CAM,377,369,324,350,364,212,58,75,74,75,74,76,73,75,73,69,72,69,68,71,68,18,75
7257,Vasquão Junior,32,187.96,85.5,CB,185,196,221,246,221,204,83,42,34,36,34,35,35,40,35,46,53,46,50,64,50,22,64
7258,Bruno Leite,25,182.88,74.25,CM,257,302,335,307,287,186,62,58,62,62,62,63,64,65,64,65,65,65,64,61,64,18,65
7259,J. Stanisic,20,185.42,76.5,CB,198,175,303,226,205,182,48,41,43,41,43,42,45,45,45,56,55,56,58,59,58,15,60
7260,G. Amiot,25,187.96,79.2,CB,209,189,236,233,255,185,69,41,40,40,40,41,43,47,43,54,58,54,56,62,56,18,62
7261,T. Fosu,24,172.72,66.60000000000001,LW,271,290,391,287,261,99,52,63,69,67,69,67,67,59,67,54,49,54,51,42,51,17,69
7262,E. Zenteno,35,180.34,77.4,CB,182,159,280,270,201,219,51,40,36,36,36,35,38,40,38,55,55,55,59,67,59,17,67
7263,N. Ngcobo,20,165.1,62.550000000000004,LM,274,291,323,242,211,136,42,54,62,60,62,61,63,58,63,54,49,54,51,42,51,13,62
7264,E. Eze,22,172.72,66.60000000000001,CAM,311,343,377,348,319,133,55,69,74,73,74,75,74,72,74,63,62,63,60,55,60,18,75
7265,Kim Jung Min,20,182.88,78.3,CAM,284,312,328,309,282,156,54,59,63,62,63,64,63,63,63,60,59,60,58,56,58,16,64
7266,T. Isherwood,22,195.57999999999998,87.3,CB,184,192,251,317,265,171,47,46,41,44,41,44,45,49,45,52,58,52,54,62,54,14,62
7267,Borja Valle,27,177.8,71.55,LM,330,328,349,365,282,150,47,69,70,70,70,69,69,65,69,61,58,61,59,54,59,17,70
7268,William Camargo,21,180.34,74.25,ST,260,223,286,295,192,59,48,60,55,59,55,56,53,49,53,38,37,38,36,35,36,15,60
7269,M. Higashiguchi,34,182.88,77.4,GK,57,72,214,220,90,55,355,24,19,22,19,20,22,22,22,24,25,24,24,25,24,70,71
7270,Licá,30,180.34,69.3,CF,335,341,364,351,324,107,47,71,71,71,71,71,71,67,71,60,58,60,57,53,57,17,71
7271,S. Karweina,21,170.18,68.4,ST,286,222,368,262,223,52,47,61,61,61,61,59,59,51,59,43,38,43,40,34,40,14,61
7272,K. Huntelaar,36,185.42,82.35000000000001,ST,369,312,286,344,317,88,45,74,67,70,67,67,64,61,64,48,50,48,46,50,46,17,74
7273,M. Dæhli,25,177.8,70.65,CAM,266,348,388,302,241,72,44,61,72,69,72,72,72,66,72,54,50,54,48,37,48,15,72
7274,N. Hebisch,30,190.5,81.45,ST,259,216,283,311,233,48,53,60,54,56,54,52,52,46,52,38,36,38,37,35,37,15,60
7275,E. Kawashima,37,185.42,73.35000000000001,GK,91,100,255,226,99,35,333,28,27,28,27,29,28,29,28,26,27,26,25,25,25,67,68
7276,N. Gartside,22,182.88,68.4,GK,99,95,236,206,109,46,267,28,26,27,26,26,27,26,27,27,26,27,26,25,26,54,55
7277,P. Piatti,31,162.56,62.550000000000004,LM,373,364,410,337,322,125,49,75,78,77,78,77,77,71,77,63,60,63,61,54,61,16,78
7278,Y. Kusano,23,170.18,64.35000000000001,CAM,284,290,358,292,245,39,45,60,61,60,61,60,59,52,59,42,39,42,39,34,39,15,60
7279,S. Mroczko,19,182.88,77.4,RB,178,186,302,214,224,166,45,40,45,42,45,42,46,41,46,53,47,53,54,53,54,14,56
7280,V. Černý,22,182.88,64.35000000000001,CAM,270,320,379,252,257,66,53,61,66,65,66,65,65,57,65,50,46,50,47,37,47,16,66
7281,J. Ralls,26,177.8,69.3,CM,318,355,341,334,359,210,60,66,70,69,70,71,70,72,70,71,72,71,70,67,70,19,72
7282,Maxwell,34,175.26,72.45,LWB,377,364,370,368,353,234,48,73,77,75,77,77,78,79,78,79,79,79,78,76,78,16,79
7283,B. Yılmaz,34,187.96,76.5,ST,365,333,361,371,347,84,60,78,74,75,74,72,72,65,72,55,54,55,53,51,53,20,78
7284,H. Arter,30,175.26,69.3,CDM,316,345,331,354,349,205,43,66,67,68,67,69,67,70,67,67,70,67,66,68,66,15,71
7285,M. Odubajo,26,177.8,71.55,RWB,275,283,380,327,317,205,57,63,66,65,66,66,66,65,66,67,66,67,67,68,67,18,69
7286,M. Adopo,19,187.96,83.25,CAM,259,276,297,300,272,160,58,56,56,57,56,58,57,58,57,56,58,56,56,57,56,17,58
7287,C. O'Dowda,25,180.34,74.25,LM,302,323,388,325,269,101,59,65,69,67,69,67,69,62,69,57,53,57,54,47,54,19,70
7288,N. Moisander,34,182.88,75.60000000000001,CB,284,316,298,327,324,221,56,61,62,64,62,67,63,71,63,67,74,67,68,75,68,18,75
7289,B. Fazliji,21,185.42,78.3,CB,228,256,293,299,280,183,62,51,52,52,52,54,54,57,54,60,62,60,60,63,60,17,63
7290,A. Cordea,21,175.26,70.65,RM,251,264,350,276,249,106,50,56,61,60,61,60,62,56,62,52,48,52,49,42,49,15,63
7291,T. Yamashita,32,182.88,72.45,CB,224,172,287,300,188,190,48,45,44,42,44,41,46,45,46,60,55,60,61,63,61,15,63
7292,Nuno Mendes,28,187.96,85.5,CB,176,184,214,228,155,129,49,49,44,49,44,45,44,52,44,61,60,61,67,71,67,20,71
7293,T. Blackmon,23,185.42,80.55,RB,260,245,340,302,252,181,54,56,59,57,59,58,60,58,60,63,61,63,63,62,63,17,65
7294,C. Itten,23,187.96,80.55,ST,352,271,329,366,286,99,41,72,68,69,68,66,67,62,67,54,52,54,52,50,52,15,72
7295,M. Autret,29,177.8,63.45,CAM,333,352,353,318,309,115,51,69,72,71,72,72,71,69,71,59,58,59,56,51,56,16,72
7296,E. Zukanović,33,190.5,84.15,CB,258,330,242,337,299,218,58,55,52,53,52,54,54,59,54,64,67,64,65,71,65,19,71
7297,E. Bristow,18,177.8,67.5,LWB,206,236,335,253,242,149,45,46,52,49,52,49,54,48,54,55,51,55,54,53,54,13,56
7298,L. Gibson,19,185.42,72.45,CB,213,216,282,261,225,186,37,45,45,44,45,44,46,47,46,55,55,55,57,60,57,13,60
7299,M. Migliorini,27,193.04,85.5,CB,184,187,208,271,245,204,51,41,35,38,35,38,38,44,38,51,58,51,55,67,55,15,68
7300,X. Emmers,19,177.8,71.55,CAM,271,324,312,289,281,167,47,58,61,62,61,64,63,64,63,58,60,58,58,57,58,15,65
7301,C. Fuentes,27,170.18,73.35000000000001,CDM,288,295,364,372,287,199,47,62,62,61,62,62,64,65,64,69,70,69,69,69,69,15,71
7302,Juan Villar,32,182.88,71.55,RW,331,345,407,367,315,110,38,70,72,71,72,70,71,63,71,58,54,58,55,51,55,15,70
7303,A. Jackson,26,187.96,79.2,CB,202,202,286,268,223,194,51,46,44,45,44,46,46,50,46,56,61,56,58,65,58,16,65
7304,A. Nathaniel-George,25,175.26,67.5,RW,245,267,366,258,217,92,53,57,63,61,63,60,60,52,60,48,41,48,46,35,46,15,61
7305,T. Gulliksen,16,177.8,59.4,CAM,219,230,313,236,236,130,46,47,49,49,49,51,51,51,51,49,49,49,49,45,49,14,51
7306,S. Griesbeck,29,187.96,84.15,CB,268,258,295,337,302,223,55,56,55,55,55,57,58,62,58,68,71,68,69,73,69,17,72
7307,M. Gurski,41,187.96,88.2,GK,64,68,185,196,115,30,273,22,20,21,20,23,22,24,22,21,25,21,20,25,20,58,59
7308,M. Penney,22,175.26,63.45,LM,298,316,368,305,283,181,67,62,64,63,64,63,64,61,64,63,59,63,62,59,62,19,65
7309,Douglas Augusto,23,175.26,67.5,CM,305,325,360,360,355,209,56,68,69,70,69,71,70,72,70,70,72,70,69,69,69,17,72
7310,C. Gytkjær,30,185.42,76.5,ST,326,297,356,364,313,77,64,73,68,70,68,67,66,60,66,50,49,50,48,48,48,20,73
7311,B. Galván,19,165.1,63.45,RM,277,297,363,287,257,120,46,60,61,60,61,60,61,56,61,54,51,54,53,49,53,14,62
7312,B. Çamoğlu,23,172.72,66.60000000000001,RM,230,258,393,266,263,166,52,52,63,59,63,62,65,62,65,65,60,65,63,55,63,17,66
7313,D. Odoi,32,177.8,71.55,RB,292,324,380,340,312,200,53,63,67,65,67,66,68,67,68,70,69,70,69,68,69,17,71
7314,J. Maurer,31,187.96,83.25,GK,92,100,201,224,118,43,332,27,24,26,24,26,26,27,26,24,27,24,24,27,24,64,65
7315,Elton Coengo,20,180.34,74.25,CM,248,263,314,298,311,196,283,60,63,64,63,65,64,67,64,64,66,64,64,64,64,55,67
7316,A. Pears,22,185.42,79.2,GK,66,75,163,163,106,34,317,22,20,22,20,23,20,23,20,18,22,18,17,21,17,64,65
7317,O. Al Sunain,25,170.18,70.65,RB,197,192,355,232,224,156,53,45,49,46,49,46,50,44,50,53,49,53,54,54,54,16,56
7318,A. Radovanović,26,187.96,82.35000000000001,CB,222,217,215,277,232,203,53,44,42,42,42,44,45,52,45,57,63,57,59,68,59,15,68
7319,D. Parra,20,180.34,71.55,LB,238,271,330,246,263,172,60,51,56,54,56,54,56,54,56,58,56,58,58,56,58,18,60
7320,K. Grosicki,32,180.34,77.4,LM,352,369,386,330,304,84,66,72,74,73,74,73,73,68,73,57,55,57,54,48,54,19,74
7321,G. Xhaka,27,185.42,79.2,CDM,318,384,286,357,373,209,46,67,68,70,68,72,71,78,71,72,78,72,71,72,71,16,80
7322,G. Crespi,19,187.96,74.25,GK,56,67,158,175,83,30,246,17,16,17,16,17,17,18,17,17,18,17,17,18,17,48,49
7323,Luis Henrique,22,182.88,80.55,ST,305,254,311,323,237,49,65,65,62,63,62,62,61,56,61,43,41,43,41,37,41,18,65
7324,J. Cullen,24,175.26,69.3,CM,280,331,359,301,337,197,56,60,66,66,66,68,68,71,68,69,70,69,68,65,68,17,71
7325,S. Nimely,21,177.8,74.25,ST,264,249,330,276,243,126,63,60,60,61,60,60,59,55,59,51,50,51,50,48,50,17,60
7326,J. Hardeveld,25,182.88,75.60000000000001,CB,248,305,297,287,286,193,51,53,55,54,55,55,57,57,57,62,62,62,62,64,62,16,64
7327,J. Hungbo,19,180.34,69.3,LM,253,257,342,223,223,100,45,55,58,56,58,56,57,50,57,47,43,47,45,39,45,14,58
7328,U. Antuna,22,175.26,58.5,RM,282,296,397,266,248,87,57,61,68,65,68,65,68,60,68,55,48,55,52,40,52,16,69
7329,G. Defrel,29,177.8,76.5,ST,357,361,391,301,313,83,59,76,78,78,78,77,75,67,75,55,52,55,52,45,52,19,76
7330,M. Diarra,32,182.88,81.45,CB,294,319,301,307,334,233,54,56,61,59,61,63,65,69,65,71,75,71,73,77,73,15,75
7331,J. Báez,29,180.34,82.35000000000001,RB,281,289,348,296,341,196,64,60,63,62,63,64,65,65,65,66,66,66,66,65,66,19,68
7332,Willian,31,175.26,76.5,RW,323,414,409,333,341,151,59,74,82,81,82,82,81,78,81,69,66,69,65,54,65,19,82
7333,A. Adnan,26,185.42,69.3,LB,323,364,359,402,347,215,59,72,72,72,72,71,73,72,73,74,72,74,73,73,73,18,75
7334,A. Didic,23,193.04,87.3,CB,166,171,241,273,197,173,54,40,36,37,36,37,39,42,39,49,53,49,52,58,52,17,59
7335,A. Popa,30,170.18,75.60000000000001,RM,283,311,385,335,277,143,58,62,66,65,66,65,67,63,67,61,57,61,59,52,59,17,66
7336,L. Binks,18,187.96,85.5,CB,209,214,290,247,235,184,37,44,45,45,45,47,47,50,47,56,59,56,57,62,57,13,62
7337,O. Mihálik,23,187.96,70.65,ST,318,320,365,316,283,84,46,69,69,69,69,68,68,61,68,52,50,52,50,46,50,15,69
7338,C. Benavente,26,172.72,67.5,CAM,315,345,365,298,265,103,49,65,70,70,70,70,69,65,69,54,51,54,51,42,51,15,70
7339,C. Morris,30,190.5,82.35000000000001,CB,202,195,255,298,186,185,52,44,43,42,43,42,46,46,46,56,56,56,58,62,58,14,62
7340,Yun Il Lok,28,177.8,64.35000000000001,LM,318,320,362,325,310,112,43,67,69,69,69,69,69,66,69,59,59,59,56,54,56,16,70
7341,D. van Bruggen,23,185.42,78.3,CB,228,254,317,360,262,187,54,56,52,55,52,55,53,58,53,59,63,59,60,64,60,17,65
7342,M. Gaćinović,25,175.26,66.60000000000001,RM,307,342,397,333,338,192,54,66,73,71,73,73,74,73,74,72,70,72,70,64,70,18,73
7343,M. Uhre,25,187.96,85.5,ST,271,250,372,337,260,97,58,66,64,65,64,62,62,54,62,49,45,49,48,46,48,18,66
7344,A. Slimane,19,187.96,79.2,CAM,264,303,308,310,278,159,50,60,62,62,62,63,63,63,63,58,60,58,57,57,57,15,63
7345,T. Ballo,17,172.72,59.4,CAM,240,253,330,225,214,123,52,49,55,53,55,55,55,51,55,48,45,48,47,41,47,14,56
7346,I. Sacko,22,182.88,69.3,ST,324,297,379,328,286,115,49,68,68,68,68,67,67,62,67,55,52,55,54,49,54,16,68
7347,E. Kaçe,25,170.18,61.65,CDM,300,341,383,335,342,211,58,64,67,67,67,67,68,69,68,71,72,71,70,68,70,17,70
7348,A. Descotte,16,177.8,74.25,RM,243,260,320,223,199,82,47,52,56,54,56,53,55,47,55,44,38,44,42,35,42,12,56
7349,K. Gruszkowski,19,182.88,73.35000000000001,RB,186,211,316,228,232,154,51,43,49,46,49,46,50,45,50,53,49,53,53,51,53,16,55
7350,K. Sadłocha,17,172.72,73.35000000000001,ST,218,192,344,267,211,50,48,52,51,51,51,50,50,43,50,37,34,37,36,32,36,15,52
7351,D. Delgado,27,175.26,69.3,RM,306,279,371,357,327,191,51,68,71,70,71,69,72,67,72,70,66,70,70,64,70,17,73
7352,J. Concannon,20,177.8,69.3,CAM,237,276,320,265,202,125,36,52,54,54,54,56,54,54,54,47,47,47,47,43,47,12,54
7353,A. Al Joui,25,170.18,66.60000000000001,RM,258,287,371,239,222,68,58,56,61,59,61,59,60,53,60,46,41,46,44,34,44,17,61
7354,I. Jakobs,20,182.88,78.3,LM,283,266,377,293,278,181,51,64,67,66,67,64,68,62,68,68,63,68,67,62,67,17,69
7355,N. Byrne B,28,172.72,69.3,RB,283,283,397,319,271,195,44,61,66,64,66,64,68,64,68,69,65,69,68,63,68,15,70
7356,Adrián Marín,23,180.34,72.45,LB,292,295,331,310,290,220,53,59,64,62,64,63,65,64,65,71,70,71,71,71,71,16,73
7357,F. Maouassa,21,170.18,72.45,LB,323,356,394,376,322,221,42,72,74,73,74,72,74,72,74,75,73,75,75,72,75,16,77
7358,M. Škriniar,25,187.96,79.2,CB,277,269,320,315,315,262,55,59,58,59,58,61,62,67,62,74,79,74,76,84,76,19,85
7359,J. Aquino,30,167.64000000000001,61.65,LM,302,356,421,326,308,116,54,68,74,73,74,73,74,68,74,60,56,60,57,48,57,17,75
7360,T. Savanier,28,172.72,68.4,CM,322,393,385,331,389,203,58,69,76,75,76,77,76,78,76,75,76,75,72,67,72,18,78
7361,D. Bessa,26,177.8,74.25,CAM,322,370,358,306,306,167,58,68,72,72,72,74,72,72,72,63,63,63,61,56,61,18,75
7362,L. Montes,34,165.1,67.5,CM,333,377,368,374,356,165,46,71,74,75,74,77,75,77,75,68,70,68,65,62,65,16,77
7363,G. Ramírez,29,182.88,77.4,CAM,356,396,347,324,327,114,51,72,75,75,75,77,75,73,75,58,59,58,55,50,55,18,77
7364,J. Benítez,24,182.88,80.55,ST,313,312,363,349,263,51,60,70,68,70,68,69,67,61,67,46,45,46,44,40,44,18,71
7365,Li Guanxi,21,187.96,77.4,GK,87,66,176,175,118,40,247,23,22,23,22,24,23,24,23,23,24,23,23,23,23,51,52
7366,Reyes,34,175.26,72.45,CAM,333,373,355,317,296,71,62,68,70,70,70,70,69,65,69,51,50,51,48,42,48,19,71
7367,D. Giannoulis,24,177.8,70.65,LB,290,308,383,307,309,211,53,62,66,64,66,64,68,65,68,72,68,72,72,68,72,17,74
7368,O. Oularé,24,195.57999999999998,103.05,ST,330,241,269,341,298,69,46,71,65,68,65,65,62,57,62,45,46,45,43,47,43,16,71
7369,Danilo,28,170.18,71.55,LB,307,327,389,359,313,224,58,66,69,68,69,69,70,70,70,74,72,74,73,72,73,18,75
7370,M. Gneba,19,175.26,71.55,ST,262,242,366,314,213,47,51,61,60,59,60,58,58,49,58,41,37,41,39,34,39,14,60
7371,A. Taggart,27,180.34,72.45,ST,334,302,384,347,297,96,65,70,70,70,70,70,69,65,69,57,55,57,55,49,55,19,70
7372,Juanfran B,31,180.34,68.4,RB,324,341,361,377,326,213,59,70,71,71,71,71,71,71,71,73,71,73,72,71,72,18,74
7373,Derik,26,182.88,73.35000000000001,CB,266,262,338,312,294,190,71,56,57,57,57,58,60,61,60,65,65,65,65,66,65,20,67
7374,J. Cracknell,26,182.88,70.65,GK,96,98,238,203,108,54,267,27,26,26,26,25,27,25,27,28,27,28,27,26,27,53,54
7375,Peixotacinho,24,187.96,82.35000000000001,CB,192,161,224,315,227,203,67,37,35,34,35,36,37,44,37,54,59,54,56,64,56,17,64
7376,P. Bourdin,26,185.42,77.4,CB,219,194,292,265,214,198,43,44,44,43,44,44,48,50,48,60,61,60,62,65,62,15,65
7377,C. Ansaldi,33,180.34,75.60000000000001,RWB,351,366,379,352,352,234,57,71,76,75,76,76,77,77,77,79,77,79,78,75,78,19,78
7378,A. McCormack,36,180.34,63.45,CB,262,285,238,322,312,192,53,52,51,53,51,55,52,60,52,57,64,57,57,66,57,15,65
7379,P. Mantalos,28,175.26,72.45,CAM,334,371,371,331,324,141,51,70,74,74,74,75,74,72,74,64,63,64,60,55,60,17,75
7380,B. Ecuélé Manga,31,185.42,74.25,CB,252,227,232,327,277,220,57,49,48,48,48,49,52,58,52,66,69,66,68,74,68,19,74
7381,J. Mojica,27,185.42,72.45,LB,308,358,383,358,347,213,59,70,73,72,73,71,73,70,73,74,71,74,73,70,73,18,75
7382,M. Ridenton,24,180.34,71.55,CM,272,302,298,327,297,168,63,58,60,59,60,60,61,61,61,61,61,61,61,59,61,19,62
7383,T. Koch,19,180.34,74.25,CB,232,259,322,247,231,184,48,49,52,50,52,52,53,53,53,56,58,56,57,60,57,15,59
7384,J. Onguéné,22,185.42,77.4,CB,217,208,348,304,248,217,59,49,49,48,49,48,50,50,50,64,63,64,66,72,66,18,72
7385,A. Koné,36,180.34,77.4,ST,341,303,321,351,291,99,42,71,68,70,68,68,67,62,67,52,51,52,50,49,50,15,71
7386,G. Sepúlveda,21,180.34,77.4,CB,225,199,314,310,237,194,55,49,46,47,46,47,49,51,49,60,62,60,62,66,62,16,66
7387,E. Cuevas,23,177.8,69.3,CAM,264,296,282,236,228,128,52,54,56,56,56,57,56,54,56,48,48,48,46,44,46,15,57
7388,M. Pineida,27,170.18,69.3,LB,275,239,328,216,240,202,53,51,57,54,57,57,60,59,60,67,63,67,68,62,68,17,70
7389,G. Rogers,38,187.96,86.4,GK,94,73,207,193,135,44,310,25,24,26,24,28,25,28,25,22,26,22,22,25,22,62,63
7390,J. Willems,26,177.8,81.45,LWB,337,374,366,381,335,220,56,71,74,73,74,74,75,74,75,75,74,75,74,73,74,17,77
7391,L. Otto,19,187.96,82.35000000000001,GK,59,73,143,176,71,29,276,19,15,17,15,17,16,18,16,15,19,15,15,19,15,54,55
7392,Ronaldo Esler,20,167.64000000000001,64.35000000000001,LB,314,312,436,333,334,228,59,67,74,72,74,72,74,71,74,78,73,78,77,71,77,19,79
7393,M. Ezmat,22,170.18,58.5,ST,206,219,303,225,190,62,48,48,49,49,49,47,47,40,47,35,31,35,33,27,33,13,49
7394,E. Pulgar,26,187.96,73.35000000000001,CDM,323,376,330,377,361,220,61,66,69,69,69,70,71,74,71,73,75,73,73,74,73,19,76
7395,A. Reyes,20,182.88,80.55,CB,189,180,327,309,222,190,49,44,42,42,42,42,44,46,44,57,57,57,59,64,59,15,64
7396,Y. Bolasie,31,185.42,83.25,LW,334,340,373,380,313,80,49,74,75,74,75,73,74,68,74,56,55,56,53,50,53,16,75
7397,Grego Sierra,27,185.42,80.55,CB,240,237,293,294,276,202,42,58,55,58,55,59,56,62,56,60,65,60,62,66,62,15,66
7398,T. Golley,29,182.88,73.35000000000001,RM,274,270,340,288,251,88,40,58,61,59,61,59,60,54,60,51,47,51,48,43,48,13,61
7399,J. Drolè,22,185.42,69.3,RM,273,266,395,318,262,90,39,64,67,65,67,64,67,57,67,55,48,55,51,43,51,14,68
7400,Kike Pérez,23,182.88,79.2,CM,272,330,314,303,276,166,61,58,61,62,61,64,62,66,62,60,64,60,60,60,60,18,66
7401,N. Powell,26,182.88,64.35000000000001,CAM,321,330,350,339,310,146,61,70,70,71,70,71,69,67,69,58,59,58,57,56,57,20,71
7402,M. Mouandilmadji,21,182.88,74.25,ST,293,237,345,328,248,53,56,66,61,63,61,60,58,52,58,42,39,42,40,38,40,18,67
7403,J. Kiesewetter,27,182.88,78.3,RM,283,285,364,300,250,86,50,62,65,63,65,63,64,56,64,51,47,51,48,43,48,15,65
7404,R. Nartey,20,182.88,77.4,CB,217,190,313,248,233,187,57,47,49,47,49,47,51,48,51,59,56,59,60,62,60,18,63
7405,R. Gauld,24,170.18,60.300000000000004,CAM,303,348,410,268,280,95,61,62,70,67,70,69,69,64,69,56,52,56,53,43,53,18,70
